S.No,Article Title,Publication Year,Authors,Study Objectives,Reported Challenges,Reported Limitations,Dataset Name,Dataset Size,Performance Metrics,Model Used,Methods Employed,Techniques Applied,Applications,Tasks Addressed,Research Gaps in Conversational AI,Gap-Oriented Critical Remarks
29,Bi-directional long short term memory-gated recurrent unit model for Amharic next word prediction,2022,"Demeke Endalie, Getamesay Haile, Wondmagegn Taye","To develop a BLSTM-GRU model for next word prediction in the Amharic language, aimed at improving text entry efficiency and accuracy.",The complexity of Amharic writing (same consonants with different vowels) and the lack of comprehensive datasets for under-resourced languages like Amharic.,Limited availability of freely accessible Amharic sentence corpora and potential issues with the generalization of the model due to training on a specific dataset.,Amharic sentence dataset compiled from the Amharic Bible.,"42,908 sentences for training, 13,850 sentences for validation, and 6,542 sentences for testing.","Prediction accuracy (78.6%), categorical cross-entropy loss.",,,,"Next word prediction for Amharic text input, potentially useful for assistive technologies and enhancing typing efficiency.","Predicting the next word in Amharic sentences, data preprocessing, model training and evaluation.",Limited research on effective next word prediction models for under-resourced languages in conversational AI applications.,The study highlights a need for more diverse datasets across different domains for Amharic to improve model robustness and generalization in practical applications.
30,Boosting English-Amharic machine translation using corpus augmentation and Transformer,2024,"Yohannes Biadgligne Ejigu, Kamel Smaïli",To improve English-Amharic machine translation (MT) performance using corpus augmentation and different Transformer architectures with hyper-parameter tuning.,"Scarcity of parallel texts for low-resource languages like Amharic, and the need for efficient model configurations.","Limited size of the original corpus, reliance on existing augmented corpora, and potential constraints in hyper-parameter tuning due to resource limitations.","English-Amharic bilingual corpus, augmented with corpus augmentation techniques.","Original corpus: 225,304 sentences; Augmented corpus: 450,608 sentences.","BLEU scores; Transformer-BP achieved a BLEU score of 39.21, which is a record for English-Amharic MT.",,,,English-Amharic machine translation; potential applications in various fields requiring translation services for the Amharic language.,"Machine translation task focusing on English to Amharic translations; includes data preprocessing, corpus augmentation, and model training and evaluation.",Under-representation of low-resource languages in MT research; limited publications and resources for Amharic in the context of conversational AI applications.,"The study emphasizes the need for collaboration and resource development to improve MT for under-resourced languages like Amharic, highlighting the challenges posed by data scarcity and the importance of advanced model configurations."
31,Corpus Generation to Develop Amharic Morphological Segmenter,2023,"Terefe Feyisa, Dr. Seble Hailu",To automatically generate morphologically segmented Amharic corpus and develop a neural network-based Amharic morphological segmenter (AMS).,Lack of large morphologically segmented corpus for Amharic; high costs associated with manual segmentation; reliance on external morphological analyzers.,Lack of proper error analysis; absence of comparisons with other implementations; potential propagation of errors from external morphological analyzers.,"Manually labeled morphologically segmented corpus, filtered Contemporary Amharic Corpus, and most frequently used Amharic word lists.","3,777,283 segmented words generated; seed corpus consisted of 1,044,817 words.","F1-score of 98.65%, precision of 98.47%, recall of 98.84%.",,,,Natural Language Processing (NLP) applications for Amharic; potential use in other Ethiopian language technologies.,Morphological segmentation of Amharic words.,Limited resources and tools for under-resourced languages like Amharic; need for effective NLP components to improve AI understanding of such languages.,Emphasizes the need for more robust error analysis and comparisons with other language technologies; highlights the importance of expanding resources for under-resourced languages.
32,Clickbait Detection for Amharic Language Using Deep Learning Techniques,2024,"Rajesh Sharma R, Akey Sungheetha, Mesfin Abebe Haile, Arefat Hyeredin Kedir, Rajasekaran A, Charles Babu G",Develop a machine learning model for detecting and classifying clickbait titles in the Amharic language.,Lack of sufficient NLP resources for the Amharic language; manual identification of clickbait is difficult.,The Amharic language is a low-resource language; limited existing literature on clickbait detection in Amharic.,"Amharic clickbait dataset consisting of social media posts from Facebook, Twitter, and YouTube.","53,227 social media posts","Accuracy (94.27%), F1 Score (94.24%)",,,,Clickbait detection in social media content in the Amharic language.,Classification of clickbait vs. non-clickbait titles.,Limited resources for NLP in Amharic; lack of studies on clickbait detection using conversational AI.,Need for more research on NLP tools for low-resource languages; importance of automated clickbait detection to enhance media credibility.
33,Combating Fake News in “Low-Resource” Languages: Amharic Fake News Detection Accompanied by Resource Crafting,2021,"Fantahun Bogale Gereme, William Zhu, Tewodros Alemu Ayall, Dagmawi Alemu","To develop tools for detecting fake news in Amharic, a low-resource language, by creating datasets and models.",Lack of adequate datasets and good word embeddings for Amharic; challenges in accurately detecting fake news due to insufficient resources.,Absence of high-quality Amharic corpora; the existing resources are not sufficient for effective NLP applications.,ETH_FAKE (novel Amharic fake news detection dataset),"Not explicitly mentioned; however, a significant effort was made to collect and organize a large dataset.",Evaluated performance of the Amharic fake news detection model; specific metrics not detailed.,,,,Fake news detection in Amharic language media and social platforms.,Automatic detection of fake news articles written in Amharic.,Lack of resources and tools for NLP in Amharic limits the development of conversational AI applications.,The need for robust datasets and linguistic resources in low-resource languages like Amharic is critical for advancing NLP technologies and applications.
34,Domain Specific Lexicon Generation through Sentiment Analysis,2020,"Kamran Shaukat, Ibrahim A. Hameed, Suhuai Luo, Imran Javed, Farhat Iqbal, Amber Faisal, Rabia Masood, Ayesha Usman, Usman Shaukat, Rosheen Hassan, Aliya Younas, Shamsair Ali, Ghazif Adeem","To discover and evaluate domain-specific words through sentiment analysis, identifying their polarity (positive, negative, neutral) in various domains.","Context-dependency of words across different domains, the need for accurate sentiment classification, and variability in word meanings based on domain use.",The study's focus on specific domains may limit the generalizability of findings. Difficulties in distinguishing between neutral and contextually specific words.,"Tweets collected from various domains: Politics, Terrorism, Life, Science, Sports, Gossip, Movies.","52,115 words","Accuracy of sentiment classification, comparison between domain-specific and general language word polarity.",,,,"Enhancing sentiment analysis applications in marketing, social media monitoring, and opinion mining in various domains.","Classification of sentiments (positive, negative, neutral) of words in specific domains, extraction of domain-specific lexicons.","Need for improved sentiment understanding in conversational AI systems, particularly for context-sensitive interactions across different domains.","The research highlights the complexity of semantic variations in language use across domains, indicating a need for more advanced models that can adapt to contextual shifts in real-time conversational AI."
35,Designing and Developing Bilingual Chatbot for Assisting Ethio-Telecom Customers on Customer Services,2023,"Fekadu Eshetu Hunde, Biruk Yirga Nidaw, T. Gopi Krishna, Shubashish Bhakta, Ravindhra Babu B.",To develop a bilingual chatbot supporting Amharic and Afaan Oromo for Ethio Telecom customer services.,High call volume to customer service; difficulty in providing timely assistance via traditional channels.,Overfitting in models; need for more extensive datasets; challenges in understanding user intents.,Prepared dataset in JSON format containing queries and responses in Amharic and Afaan Oromo.,"Not explicitly mentioned, but mentions a sample of 30 users for evaluation.",DNN model accuracy: 80.29%; Sequential model accuracy: 86.13%.,,,,Customer service assistance via web application and Telegram bot.,"Intent classification, natural language understanding, response generation.",Limited understanding of user queries in natural language; need for more robust conversational models.,Need for improved handling of diverse user queries; integration of more advanced NLP techniques for better accuracy.
36,Designing a hybrid dimension reduction for improving the performance of Amharic news document classification,2021,"Demeke Endalie, Tesfa Tegegne",To present a hybrid dimensionality reduction method to improve classification accuracy while reducing input features.,High dimensionality in document classification affecting model performance.,Accuracy decreases as feature size is reduced; some methods may lead to underfitting or overfitting.,Amharic news documents from the Ethiopian News Agency (ENA).,"1,823 documents across 9 news categories.","Accuracy, Precision, Recall, F-measure.",,,,"Document classification, specifically for Amharic news articles.",Automatic classification of news documents into predefined categories.,Limited application of dimensionality reduction techniques in conversational AI for Amharic language processing.,Need for more comprehensive approaches in integrating hybrid models with conversational AI to enhance understanding and interaction in Amharic.
37,Design and Research of Intelligent Tutor System Based on Natural Language Processing,2019,"Yantao Wang, Yu Sun, Yuanfei Chen",To design an intelligent teaching assistant system using natural language processing to provide timely feedback on online learning platforms.,High dropout rates due to lack of timely feedback; existing feedback mechanisms on online platforms are ineffective.,Current e-learning platforms fail to provide timely responses to learner inquiries; lack of intelligent customer service features in existing systems.,"Feedback mechanisms and user interaction data from various online learning platforms in China (e.g., MOOC, Tencent Classroom, Netease Cloud Classroom).",Not specified in the document.,"Correctness, professionalism, and timeliness of feedback provided by the intelligent tutor system.",,,,"Online education and e-learning platforms, providing real-time feedback and support to learners.","Designing the intelligent assistant system, analyzing user needs, implementing feedback mechanisms, and ensuring timely responses to learner inquiries.",Limited integration of intelligent customer service systems in online learning environments; potential for further research on enhancing learner engagement through AI.,Emphasizes the need for more effective feedback mechanisms in online education; suggests further exploration of AI's role in reducing dropout rates through improved interaction.
38,Deep learning-based idiomatic expression recognition for the Amharic language,2023,"Demeke Endalie, Getamesay Haile, Wondmagegn Taye",Propose a deep learning model for recognizing idiomatic expressions in Amharic texts using CNN and FastText. <br> - Create a general-purpose Amharic idiomatic expression dataset for future studies.," idiomatic expressions are difficult to understand and not directly deducible from their components. <br> - Most existing NLP models for Amharic do not account for idiomatic expressions, impacting various NLP tasks.",Performance may be limited by the size and quality of the dataset. <br> - Need for further enhancement with more annotated idiomatic expressions.,"Collected from Amharic books: ""የአማርኛ ፈሊጦች"" and ""ፍቅር እስከ መቃብር.""",3300 Amharic phrases (1700 idiomatic and 1600 non-idiomatic).,"Accuracy, Precision, Recall, F1-score",,,,"Improving NLP tasks like machine translation, sentiment analysis, and question answering in the Amharic language.",Recognizing idiomatic expressions in Amharic texts,"Lack of models considering idiomatic expressions may lead to misunderstanding in conversational AI applications, impacting user interactions.",Need for more comprehensive datasets and models that recognize idiomatic expressions to enhance performance in various NLP applications for Amharic.
39,Deep Learning-based Sentiment Classification in Amharic using Multi-lingual Datasets,2023,"Senait Gebremichael Tesfagergish, Robertas Damaševičius, Jurgita Kapočiūtė-Dzikienė",To address sentiment analysis for Amharic by utilizing multi-lingual datasets and deep learning methods.,Scarcity of resources for training sentiment analysis models in under-researched languages like Amharic.,Limited availability of high-quality datasets for Amharic; reliance on machine translation for data augmentation.,1) Ethiopic Twitter Dataset for Amharic (ETD-AM) 2) Tweet_Eval (English dataset adjusted for sentiment analysis).,ETD-AM: Approximately 8.6K tweets (after filtering); Tweet_Eval: 60K texts (before pre-processing).,"Accuracy, Precision, Recall, F1-Score.",,,,"Sentiment analysis in social media contexts, particularly for Amharic language content on platforms like Twitter.",2-class (positive/negative) and 3-class (positive/negative/neutral) sentiment classification tasks.,"Limited research on sentiment analysis for low-resourced languages, particularly in conversational AI applications for Amharic.",The study highlights the need for improved datasets and models specifically designed for under-resourced languages to enhance conversational AI capabilities.
40,Deep Learning-Based Sentiment Classification of Social Network Texts in Amharic Language,2022,"Senait Gebremichael Tesfagergish, Robertas Damaševičius, Jurgita Kapočiūtė-Dzikienė",To conduct sentiment analysis on Amharic social media texts using deep learning and classical models.,Limited resources for developing sentiment analysis methods in under-researched languages like Amharic.,"Small dataset size, absence of pre-trained models specifically for Amharic, and morphological complexity of the language.",Ethiopic Twitter Dataset for Amharic (ETD-AM).,"Approximately 3,000 tweets after filtering; originally 9.4K tweets were collected.","Accuracy, Precision, Recall, F1-Score.",,,,"Sentiment analysis of social media texts, particularly on platforms like Twitter.",Binary sentiment classification (positive/negative).,"Lack of research on sentiment analysis for under-resourced languages like Amharic, especially in conversational AI applications.",Need for more robust datasets and models tailored to the morphological features of Amharic to improve performance in sentiment analysis tasks.
41,Deep Neural Networks Based Automatic Speech Recognition for Four Ethiopian Languages,2020,"Solomon Teferra Abate, Martha Yifiru Tachbelie, Tanja Schultz","To develop speech recognition systems for Amharic, Tigrigna, Oromo, and Wolaytta using DNN-based models.","Lack of resources, morphological complexity, high Out of Vocabulary (OOV) rates.",Insufficient speech and language resources; computational resource limitations.,"Training and evaluation corpora for Amharic, Tigrigna, Oromo, and Wolaytta.",20-29 hours for training; 1 hour for evaluation per language.,Word Error Rate (WER) reductions ranging from 15.1% to 31.45%.,,,,Automatic Speech Recognition (ASR) for under-resourced languages.,Speech recognition tasks across four Ethiopian languages.,Limited existing ASR frameworks for Ethiopian languages; high OOV rates hinder performance.,Need for more comprehensive resources and methodologies tailored for morphological complexity in ASR; potential for multilingual modeling.
42,Design and Evaluate the Efficiency of Ethiopic Local Integrating System in Open-Source Database,2022,"Worku Mekonnen Tessema, Nadire Cavus",To develop an Amharic locale extension module to integrate into an open-source database and evaluate its efficiency.,Limitations in managing Ethiopian calendar and numbers within existing DBMS; errors in data management related to Amharic locale.,Lack of existing literature to address the specific challenges in Amharic locale data management; insufficient handling of Ethiopian cultural specifics in current DBMS.,Data from the Employee Social Security Management System (ESSMS) of the Private Organizations’ Employees Social Security Agency (POESSA).,Not specified in the document.,"User satisfaction, effectiveness, and efficiency based on ISO 9241-11 usability testing attributes.",,,,"Managing Amharic local data including currency, calendar, and date/time formats in open-source databases.","Development and testing of the Amharic locale extension, usability evaluation, and comparison with existing DBMS.",Limited exploration of conversational AI applications for Amharic and other Ethiopian languages within existing frameworks.,The study highlights the need for more research on localization in database systems specific to Ethiopian languages and emphasizes the lack of tools for effective management of Amharic locale data in conversational AI contexts.
43,End-to-end handwritten Ge’ez multiple numerals recognition using deep learning,2024,Ruchika Malhotra & Maru Tesfaye Addis,Develop a recognition model for handwritten Ge’ez multiple digits using deep learning,"Variations in handwriting styles, incomplete or overlapping strokes, noise, and distortion",Scarcity of publicly available Ge’ez digit datasets,Synthetically generated dataset based on Nur et al.'s dataset,"120,000 handwritten Ge’ez multiple numeral images",Character error rate (CER) of 2.81% and word error rate (WER) of 18.13%,,,,Handwritten Ge’ez numeral recognition,Handwritten text recognition,Limited exploration of conversational AI in Ge’ez numeral recognition,Need for more diverse datasets and exploration of conversational AI integration in handwritten numeral recognition
44,Enhancing Word Sense Disambiguation for Amharic homophone words using Bidirectional Long Short-Term Memory network,2024,"Mequanent Degu Belete, Lijalem Getanew Shiferaw, Girma Kassa Alitasb, Tariku Sinshaw Tamir",Develop a WSD model for Amharic homophone words using deep learning techniques,Lack of standard datasets and tools for Amharic WSD,Limited to certain Amharic homophone words due to dataset constraints,"Collected from various sources like newspapers, books, and websites",1756 examples,"Accuracy, categorical accuracy, categorical cross-entropy",,,,Natural Language Processing tasks including machine translation and information retrieval,Word Sense Disambiguation,Lack of focus on Amharic homophone disambiguation in conversational AI systems,"Need for collaboration in computational linguistics to address Amharic language challenges; robustness tested with a small dataset, more data needed"
45,Entropy Estimation and Entropy-based Encoding of Written Amharic Language for Efficient Transmission in Telecom Networks,2017,"Tsegamlak Terefe, Dereje Hailemariam",To estimate the entropy of the Amharic language and develop entropy-based encoding techniques for efficient telecom transmission,High cost of using UTF-8 encoding for Amharic; lack of standard transliteration; low English literacy,Limited dataset size; initial work with no prior research on Amharic entropy,"Six books from various genres (religion, fiction, politics)","Not specified in exact numbers, but limited to six books","Entropy estimation, compression ratio, storage space saved",,,,Efficient transmission of Amharic text in telecom networks,Encoding and compression of Amharic text,Lack of efficient encoding for Amharic in conversational AI systems,Need for larger datasets and refined algorithms for real-world application; potential for better integration in network systems
46,EthioLLM: Multilingual Large Language Models for Ethiopian Languages with Task Evaluation,2024,"Atnafu Lambebo Tonja, Israel Abebe Azime, Tadesse Destaw Belay, Mesay Gemeda Yigezu, Moges Ahmed Mehamed, Abinew Ali Ayele, Ebrahim Chekol Jibril, Michael Melese Woldeyohannis, Olga Kolesnikova, Philipp Slusallek, Dietrich Klakow, Shengwu Xiong, Seid Muhie Yimam",Introduce EthioLLM – multilingual language models for Ethiopian languages and evaluate their performance on various NLP tasks.,Insufficient resources for training LLMs in low-resource languages.,Current models do not cover most Ethiopian languages due to lack of large monolingual corpora.,Ethiobenchmark,"Various, e.g., Amharic: 153,509,645 tokens; English: 76,587,128 tokens.",Weighted F1-score,,,,NLP tasks for Ethiopian languages,"News classification, machine translation, hate speech detection, named entity recognition, part-of-speech tagging, sentiment analysis, question analysis",Lack of comprehensive datasets and models for Ethiopian languages limits progress in conversational AI research.,Need for more extensive datasets and models covering a wider range of Ethiopian languages to improve AI research and applications.
47,Extended Parallel Corpus for Amharic-English Machine Translation,2022,"Andargachew Mekonnen Gezmu, Andreas Nurnberger, Tesfaye Bayu Bati","To acquire, preprocess, segment, and align an Amharic-English parallel corpus for machine translation of Amharic, a low-resource language.","Scarcity of parallel corpora for low-resource languages, spelling variations, typographical errors, lack of standardized Amharic.","Limited size of available corpora, requiring extensive manual or automatic editing.",Amharic-English parallel corpus,"145,364 sentence pairs","BLEU, Translation Edit Rate on Character Level (CharacTER), Better Evaluation as Ranking (BEER)",,,,Machine translation for Amharic-English language pair,Translation of Amharic to English and vice versa,"Not explicitly mentioned, but the focus is on improving translation for low-resource languages, which impacts conversational AI in these languages.","Need for larger and cleaner corpora, exploration of different word segmentation methods, extraction of text from scanned documents for better data augmentation."
48,Feature selection by integrating document frequency with genetic algorithm for Amharic news document classification,2022,"Demeke Endalie, Getamesay Haile, Wondmagegn Taye Abebe",To propose a hybrid feature selection method combining document frequency and genetic algorithm to improve Amharic news text classification.,"Curse of dimensionality, lack of publicly available datasets for Amharic, dealing with complex morphology of the Amharic language.",Limited to Amharic news datasets; does not address other languages or document types.,Amharic news documents from Ethiopian News Agency (ENA),"13 categories with varying document counts, specific sizes not detailed.","Accuracy, Precision, Recall, F-measure",,,,"Amharic document classification, automatic document organization, topic extraction, information retrieval",Text classification of Amharic news documents,Not explicitly mentioned; potential implications for improving text processing in low-resource languages like Amharic.,Need for exploration of additional datasets and application to other languages; potential for reducing computational complexity with efficient feature selection.
49,Fine-Tuned Pretrained Transformer for Amharic News Headline Generation,2024,"Mizanu Zelalem Degu, Million Meshesha",Fine-tune the T5 model for Amharic news headline generation,Scarcity of high-quality linguistic datasets for Amharic,"Low computational resources, limited dataset size","Amharic news articles collected from Fana, Addis Walta, Alain News, and Reporter","78,614 articles initially, reduced to 72,304 after cleaning","Rouge-L, BLEU, Meteor",,,,News headline generation,"Text summarization, headline generation",Lack of large datasets and morphological complexity of the Amharic language,"The study could be improved by increasing the dataset size, using machine learning-based adaptive postprocessing techniques, and fine-tuning other pretrained models."
50,Handwritten Amharic Character Recognition Using a Convolutional Neural Network,2019,"Mesay Samuel Gondere, Lars Schmidt-Thieme, Abiot Sinamo Boltena, Hadi Samer Jomaa",To develop a model for handwritten Amharic character recognition using CNN,Lack of existing models for non-Latin scripts like Amharic; complexity of character recognition,Unique handwritten dataset limitations affecting performance; variations in handwriting not fully captured,A subset of a comprehensive dataset for Ethiopic handwriting recognition,"1,192,500 images for training, 212,000 for validation, 106,000 for testing","Accuracy rates: 87.48% (training), 52.15% (validation), 52.82% (test)",,,,Character recognition in handwritten Amharic; potential for word prediction,Isolated character recognition; predicting rows and columns of Amharic characters,Limited intersection in research on how character recognition could enhance AI interactions,Need for a standard dataset for better model training; further exploration of multi-script recognition
51,Hate Speech Detection and Classification in Amharic Text with Deep Learning,2024,"Samuel Minale Gashe, Seid Muhie Yimam, Yaregal Assabie",To develop a deep learning model for detecting and classifying hate speech in Amharic text,Lack of resources for low-resource languages like Amharic; difficulty in enforcement of hate speech laws,Limited existing datasets; previous models had low accuracy; complexity of Amharic text,Annotated dataset of Amharic social media posts and comments,"5,000 annotated posts and comments",F1-score of 94.8 for the proposed model; baseline F1-scores of 40.1 (rule-based) and 80.3 (classic ML),,,,Social media monitoring for hate speech detection in Ethiopia,"Classification of hate speech into racial, religious, gender, and non-hate speech categories",Limited research on hate speech detection in low-resource languages; need for automated detection tools,Need for more comprehensive datasets and models; potential for integration with social media platforms for real-time detection
52,GeezSwitch: Language Identification in Typologically Related Low-resourced East African Languages,2022,"Fitsum Gaim, Wonsuk Yang, Jong C. Park","To present a language identification dataset for five low-resourced East African languages using the Ge’ez script, and to evaluate models for language identification.",Confusion between similar typologically related languages in real-world applications; lack of digital content for low-resourced languages.,Limited support for Ge’ez script languages in existing LI tools; high out-of-vocabulary (OOV) rates due to morphological richness.,"A dataset for Amharic, Blin, Ge’ez, Tigre, and Tigrinya languages, automatically constructed from various sources.","15,000 samples (3,000 per language for training, 2,000 for testing, 1,000 for validation)",F1 scores with macro averaging; achieved results between 98.28% and 99.90%.,,,,"NLP applications such as machine translation, language filtering in digital content, and preprocessing of noisy data.",Language identification as a five-way text classification task.,Lack of focused research on language identification for low-resourced languages with non-Latin scripts; need for benchmarks for underrepresented languages.,The study emphasizes the importance of datasets for low-resourced languages and suggests future work to expand to more languages using the Ge’ez script.
53,Gender in Amharic: a morphosyntactic approach to natural and grammatical gender,2014,Ruth Kramer,To analyze the relationship between natural gender and grammatical gender in Amharic,Conventional analyses struggle to account for the Amharic gender system,Lack of consistent morphophonological correlates of gender in Amharic,Evidence from the Amharic language and analysis of gender features,Not specifically quantified; qualitative analysis of gender features,Not applicable; focus on theoretical analysis rather than empirical metrics,,,,Linguistic analysis of gender in Amharic; implications for understanding gender systems,Analysis of gender assignment and its features in Amharic,Limited exploration of how natural and grammatical gender affects AI interactions,Need for more inclusive models that consider natural gender in AI systems
54,Information Extraction Model from Ge’ez Texts,2023,"Seffi Gebeyehu, Worke Wolde, Zelalem S. Shibeshi",To develop an information extraction (IE) model for Ge’ez texts using deep learning algorithms like Bi-LSTM.,"Complexity due to grammatical nuances, morphological structures, and lack of resources tailored for Ge'ez language.","Dependency on manual labeling, challenges in handling unstructured data effectively.","Texts from religious documents, Ge’ez textbooks, religious telegram channels, and theses.","63,262 tokens from 5,270 sentences.","Training accuracy: 98.59%, Validation accuracy: 97.96%, Testing accuracy: 96.21%.",,,,"Information extraction for the Ge’ez language, particularly in named entity recognition (NER).","Sequence labeling and NER tasks for extracting specific entities like names, places, and time from Ge’ez texts.",Limited studies in Ge'ez language IE systems; lack of robust techniques for handling low-resource morphologically rich languages.,Need for larger annotated datasets; potential improvements through transfer learning and advanced embeddings.
55,Improving Part-of-Speech Tagging in Amharic Language Using Deep Neural Network,2023,"Sintayehu Hirpassa, G.S. Lehal",To improve Amharic POS tagging accuracy using advanced deep neural network models and feature representations.,"Limited resources for Amharic NLP, spelling variations, morphological richness, and context sensitivity.",High dependency on manually tagged datasets; challenges in handling unseen words (OOV).,"ELRC News Corpus, religious text corpus annotated with POS tags.","321,000 tokens; 16,451 sentences.","Accuracy (97.23%), Precision, Recall, and F1-Score.",,,,"POS tagging for Amharic language, extending to morphologically rich languages.","Sequence labeling for Amharic POS tagging, focusing on feature-rich representation for ambiguous tokens.",Insufficient studies addressing character-level embeddings' impact on Amharic NLP; no comprehensive framework for unseen word handling.,"Needs pre-trained embeddings and larger, diversified datasets; potential for transfer learning to improve performance."
56,Improving Amharic Speech Recognition System Using Connectionist Temporal Classification with Attention Model and Phoneme-Based Byte-Pair-Encodings,2021,"Eshete Derb Emiru, Shengwu Xiong, Yaxing Li, Awet Fesseha, Moussa Diallo",To improve Amharic speech recognition by addressing out-of-vocabulary (OOV) words and exploring end-to-end modeling techniques with phoneme-based subwords.,"Low resource availability for the Amharic language, out-of-vocabulary words in speech recognition.","Limited dataset size, dependency on specific augmentation techniques like SpecAugment, and challenges in addressing morphological richness and pronunciation variations.","Amharic reading speech database from the ALFFA project, extended with additional corpora from various sources.","22 hours of speech data, 11,874 sentences for training; 999 sentences, 2 hours of additional data.","Word Error Rate (WER), Character Error Rate (CER), Phoneme Error Rate (PER).",,,,"Automatic speech recognition (ASR) for Amharic, with potential applications in machine and speech translation.","Speech recognition with context-dependent phoneme-based subwords for Amharic, addressing rich morphological and phonetic characteristics.","Gaps in addressing end-to-end ASR for morphologically rich but poorly resourced languages like Amharic, limited exploration of phoneme-based subwords with epenthetic vowels.","Critical need for expanding datasets and exploring transformer-based models, and addressing latency and performance trade-offs."
57,"Hypernymy Detection for Low-Resource Languages: A Study for Hindi, Bengali, and Amharic",2022,"Abhik Jana, Gopalakrishnan Venkatesh, Seid Muhie Yimam, Chris Biemann","To introduce datasets and methodologies for hypernymy detection in low-resource languages, demonstrating the utility of distributional thesaurus embeddings.",Lack of gold-standard datasets and suitable distributional semantic models for low-resource languages.,Low coverage of distributional thesaurus embeddings and missing significant portions of datasets.,"ROOT9, BLESS, EVALution, Baroni (translated and adapted for Hindi, Bengali, Amharic)","Varies by dataset and language; e.g., ROOT9 (Hindi: 5,558 random pairs, 1,046 hypernymy pairs).","Accuracy; e.g., 0.865 for Hindi, 0.794 for Bengali, 0.991 for Amharic using DT embeddings.",,,,"Natural language understanding, taxonomy induction, lexical entailment, text generation.",Hypernymy detection as binary classification (hypernymy vs. co-hyponymy/random pairs).,Absence of datasets and models for conversational AI in low-resource languages.,Existing approaches lack scalability and generalization for morphologically rich or low-resource languages.
58,Integrated Ontology Learner: Towards Generic Semantic Annotation Framework,2017,"Fekade Getahun, Kidane Woldemariyam",To develop a generic and automatic ontology learning approach that processes unstructured and semi-structured data sources for domain knowledge extraction and representation.,"Manual ontology creation is tedious, expensive, biased, and inflexible, creating a knowledge acquisition bottleneck.",The proposed method exhibits limitations in recall measurements and relies heavily on Wikipedia for knowledge extraction.,"Amharic news articles (1103), categorized manually by domain experts, and Amharic Wikipedia dump.",1103 Amharic news articles and additional data from Amharic Wikipedia dump.,"Precision: 78.75% for candidate term extraction, 79.59% for taxonomy induction, and 55.00% for semantic relation extraction.",,,,"Semantic web annotation, domain knowledge modeling, and integration of generic semantic annotation frameworks.","Ontology learning from unstructured texts, domain concept extraction, and relation identification.","Limited exploration of automatic ontology learning for conversational AI, especially for under-resourced languages.","The system's adaptability to morphologically complex languages requires further testing, and scalability issues persist due to the reliance on specific data sources like Wikipedia."
59,Introducing Various Semantic Models for Amharic: Experimentation and Evaluation with Multiple Tasks and Datasets,2021,"Seid Muhie Yimam, Abinew Ali Ayele, Gopalakrishnan Venkatesh, Ibrahim Gashaw, Chris Biemann","To explore and introduce multiple semantic models for Amharic NLP tasks, fine-tune existing pre-trained models, and benchmark their performance on specific tasks.","Lack of existing semantic models, limited quality of pre-trained models, and lack of benchmark datasets for Amharic.",Dependence on translations for dataset creation; limited robustness of models due to corpus-specific issues.,"Amharic corpus including news articles, web corpus, and tweets.","6,151,995 sentences; over 335 million tokens.","F1 scores, Precision, Recall for tasks like POS tagging (F1: up to 94.16), NER (F1: 77.61), and Sentiment Analysis (F1: 58.48).",,,,"Sentiment analysis, POS tagging, Named Entity Recognition, and word similarity tasks for Amharic NLP.","Text classification, tagging, semantic similarity, and contextual prediction.",Lack of direct application of these models for conversational AI; limited exploration of conversational datasets for Amharic.,Pre-trained models perform poorly compared to newly trained ones; the absence of domain-specific models for conversational use.
60,"Investigation of Various Hybrid Acoustic Modeling Units via a Multitask Learning and Deep Neural Network Technique for LVCSR of the Low-Resource Language, Amharic |",2019,"Tessfu Geteye Fantaye, Junqing Yu, Tulu Tilahun Hailu                                                  |", To improve speech recognition for the Amharic language using hybrid acoustic modeling units and MTL-DNN techniques. |,"Training data scarcity, sparsity, and unevenness in the existing datasets for Amharic.                   |"," Limited training corpus size compared to resource-rich languages, leading to poorer performance.         |",Speech corpus derived from two sources for generating lexical dictionaries and training language models.  |, Small compared to other languages; specific size not mentioned.                                          |,Word Error Rate (WER) reductions of 1.9% to 5.07% compared to baseline GMM-HMM models.                  |,,,,Large Vocabulary Continuous Speech Recognition (LVCSR) for the Amharic language.                        |,Speech recognition tasks focusing on syllable-based models and their performance evaluation.              |," The study highlights the need for improved models for low-resource languages, which is relevant for conversational AI applications. |", Further investigation is needed into expanding training corpora and exploring advanced acoustic modeling techniques to address the OOV problem in morphologically rich languages like Amharic. |
61,Vector Representation of Amharic Idioms for Natural Language Processing Applications Using Machine Learning Approach,2023,Anduamlak Abebe Fenta,To propose a vector representation model for Amharic idioms to enhance natural language processing applications using machine learning techniques.,Non-compositional nature of idioms complicates NLP processing.<br>- Difficulties in training machines with idiomatic expressions.,Limited use of machine learning and deep learning techniques in previous literature for idiomatic expressions.,500 idiomatic expressions sourced from an Amharic idioms book.,500 idiomatic expressions,Accuracy: 95.5%,,,,"Natural Language Processing (NLP), machine translation, sentiment analysis, idiom identification, and next-word prediction.",Vectorizing idiomatic expressions for improved processing in NLP applications.,"Lack of effective models for processing idiomatic expressions in conversational AI, limiting understanding and response accuracy.",The study highlights the need for better representation of idioms in NLP systems to improve performance and understanding in applications involving Amharic language.
